layer,name,operation,batchsize,matsize,kernelsize,channels_in,channels_out,strides,padding,activation_fct,use_bias,poolsize,time_max,time_min,time_median,time_mean,time_trim_mean,pre_time_abse,pre_time_re,pre_time_rmse
1,conv2d_1,<class 'keras.layers.convolutional.Conv2D'>,8,28,5.0,1,32.0,1.0,0.0,0.0,1.0,,0.38504600524902344,0.26679039001464844,0.3129243850708008,0.32198429107666016,0.3210008144378662,,,
2,max_pooling2d_1,<class 'keras.layers.pooling.MaxPooling2D'>,8,24,,32,,2.0,0.0,,,2.0,0.30684471130371094,0.1621246337890625,0.21076202392578125,0.2185344696044922,0.21454691886901855,,,
3,conv2d_2,<class 'keras.layers.convolutional.Conv2D'>,8,12,5.0,32,64.0,1.0,0.0,0.0,1.0,,0.4184246063232422,0.3261566162109375,0.4000663757324219,0.38781166076660156,0.3916919231414795,,,
4,max_pooling2d_2,<class 'keras.layers.pooling.MaxPooling2D'>,8,8,,64,,2.0,0.0,,,2.0,0.2758502960205078,0.14591217041015625,0.20897388458251953,0.21770000457763672,0.2194046974182129,,,
5,dense_1,<class 'keras.layers.core.Dense'>,8,1,,1024,100.0,,,1.0,,,0.2994537353515625,0.1347064971923828,0.16927719116210938,0.1953601837158203,0.18993020057678223,,,
6,dense_2,<class 'keras.layers.core.Dense'>,8,1,,100,10.0,,,1.0,,,0.2334117889404297,0.1373291015625,0.18310546875,0.18069744110107422,0.17952919006347656,,,
