layer,name,operation,batchsize,matsize,kernelsize,channels_in,channels_out,strides,padding,activation_fct,use_bias,poolsize,time_max,time_min,time_median,time_mean,time_trim_mean,pre_time_abse,pre_time_re,pre_time_rmse
1,conv2d_1,<class 'keras.layers.convolutional.Conv2D'>,32,28,5.0,1,32.0,1.0,0.0,0.0,1.0,,0.5247592926025391,0.4687309265136719,0.49245357513427734,0.4947662353515625,0.49427151679992676,,,
2,max_pooling2d_1,<class 'keras.layers.pooling.MaxPooling2D'>,32,24,,32,,2.0,0.0,,,2.0,0.35452842712402344,0.2262592315673828,0.3312826156616211,0.31790733337402344,0.3247857093811035,,,
3,conv2d_2,<class 'keras.layers.convolutional.Conv2D'>,32,12,5.0,32,64.0,1.0,0.0,0.0,1.0,,0.45609474182128906,0.3657341003417969,0.40352344512939453,0.41000843048095703,0.40978193283081055,,,
4,max_pooling2d_2,<class 'keras.layers.pooling.MaxPooling2D'>,32,8,,64,,2.0,0.0,,,2.0,0.2918243408203125,0.15854835510253906,0.1862049102783203,0.21104812622070312,0.20751357078552246,,,
5,dense_1,<class 'keras.layers.core.Dense'>,32,1,,1024,100.0,,,1.0,,,0.22530555725097656,0.16617774963378906,0.18727779388427734,0.19104480743408203,0.18987059593200684,,,
6,dense_2,<class 'keras.layers.core.Dense'>,32,1,,100,10.0,,,1.0,,,0.1666545867919922,0.13446807861328125,0.14710426330566406,0.14848709106445312,0.14796853065490723,,,
