layer,name,operation,batchsize,matsize,kernelsize,channels_in,channels_out,strides,padding,activation_fct,use_bias,poolsize,time_max,time_min,time_median,time_mean,time_trim_mean,pre_time_abse,pre_time_re,pre_time_rmse
1,conv2d_1,<class 'keras.layers.convolutional.Conv2D'>,1,227,11.0,3,96.0,4.0,0.0,0.0,1.0,,2.443552017211914,2.198934555053711,2.3676156997680664,2.333664894104004,2.3367702960968018,,,
2,max_pooling2d_1,<class 'keras.layers.pooling.MaxPooling2D'>,1,55,,96,,2.0,0.0,,,3.0,0.4603862762451172,0.4024505615234375,0.44596195220947266,0.4400491714477539,0.44220685958862305,,,
3,conv2d_2,<class 'keras.layers.convolutional.Conv2D'>,1,27,5.0,96,256.0,1.0,1.0,0.0,1.0,,7.016181945800781,6.540775299072266,6.657838821411133,6.715559959411621,6.6998302936553955,,,
4,max_pooling2d_2,<class 'keras.layers.pooling.MaxPooling2D'>,1,27,,256,,2.0,0.0,,,3.0,0.31948089599609375,0.1800060272216797,0.1932382583618164,0.22187232971191406,0.2149045467376709,,,
5,conv2d_3,<class 'keras.layers.convolutional.Conv2D'>,1,13,3.0,256,384.0,1.0,1.0,0.0,1.0,,2.8297901153564453,2.4881362915039062,2.5887489318847656,2.607131004333496,2.594172954559326,,,
6,conv2d_4,<class 'keras.layers.convolutional.Conv2D'>,1,13,3.0,384,384.0,1.0,1.0,0.0,1.0,,3.839731216430664,3.5796165466308594,3.74448299407959,3.729677200317383,3.734678030014038,,,
7,conv2d_5,<class 'keras.layers.convolutional.Conv2D'>,1,13,3.0,384,256.0,1.0,1.0,0.0,1.0,,2.759218215942383,2.516508102416992,2.6715993881225586,2.652573585510254,2.6562511920928955,,,
8,max_pooling2d_3,<class 'keras.layers.pooling.MaxPooling2D'>,1,13,,256,,2.0,0.0,,,3.0,0.1571178436279297,0.11515617370605469,0.13566017150878906,0.13468265533447266,0.13431906700134277,,,
9,dense_1,<class 'keras.layers.core.Dense'>,1,1,,9216,4096.0,,,1.0,,,11.914253234863281,11.702299118041992,11.729240417480469,11.751079559326172,11.736780405044556,,,
10,dense_2,<class 'keras.layers.core.Dense'>,1,1,,4096,4096.0,,,1.0,,,5.423784255981445,5.378246307373047,5.397439002990723,5.399560928344727,5.399197340011597,,,
11,dense_3,<class 'keras.layers.core.Dense'>,1,1,,4096,1000.0,,,1.0,,,1.3730525970458984,1.3184547424316406,1.3403892517089844,1.3391733169555664,1.3375282287597656,,,
