layer,name,operation,batchsize,matsize,kernelsize,channels_in,channels_out,strides,padding,activation_fct,use_bias,poolsize,time_max,time_min,time_median,time_mean,time_trim_mean,pre_time_abse,pre_time_re,pre_time_rmse
1,conv2d_1,<class 'keras.layers.convolutional.Conv2D'>,8,227,11.0,3,96.0,4.0,0.0,0.0,1.0,,15.790700912475586,15.310287475585938,15.494108200073242,15.489530563354492,15.474289655685425,,,
2,max_pooling2d_1,<class 'keras.layers.pooling.MaxPooling2D'>,8,55,,96,,2.0,0.0,,,3.0,1.4088153839111328,1.1763572692871094,1.3216733932495117,1.3042211532592773,1.3071298599243164,,,
3,conv2d_2,<class 'keras.layers.convolutional.Conv2D'>,8,27,5.0,96,256.0,1.0,1.0,0.0,1.0,,48.94280433654785,47.83201217651367,48.06983470916748,48.146939277648926,48.08682203292847,,,
4,max_pooling2d_2,<class 'keras.layers.pooling.MaxPooling2D'>,8,27,,256,,2.0,0.0,,,3.0,0.9326934814453125,0.7481575012207031,0.8529424667358398,0.8477449417114258,0.8495748043060303,,,
5,conv2d_3,<class 'keras.layers.convolutional.Conv2D'>,8,13,3.0,256,384.0,1.0,1.0,0.0,1.0,,17.595529556274414,17.206668853759766,17.463088035583496,17.432332038879395,17.44014024734497,,,
6,conv2d_4,<class 'keras.layers.convolutional.Conv2D'>,8,13,3.0,384,384.0,1.0,1.0,0.0,1.0,,26.311397552490234,25.361299514770508,25.914549827575684,25.86221694946289,25.86868405342102,,,
7,conv2d_5,<class 'keras.layers.convolutional.Conv2D'>,8,13,3.0,384,256.0,1.0,1.0,0.0,1.0,,18.558979034423828,17.78435707092285,17.929911613464355,18.01602840423584,17.977118492126465,,,
8,max_pooling2d_3,<class 'keras.layers.pooling.MaxPooling2D'>,8,13,,256,,2.0,0.0,,,3.0,0.32448768615722656,0.22339820861816406,0.24688243865966797,0.2511739730834961,0.2454817295074463,,,
9,dense_1,<class 'keras.layers.core.Dense'>,8,1,,9216,4096.0,,,1.0,,,15.741348266601562,15.506982803344727,15.647292137145996,15.640830993652344,15.644997358322144,,,
10,dense_2,<class 'keras.layers.core.Dense'>,8,1,,4096,4096.0,,,1.0,,,8.368253707885742,7.0438385009765625,7.177233695983887,7.279562950134277,7.172942161560059,,,
11,dense_3,<class 'keras.layers.core.Dense'>,8,1,,4096,1000.0,,,1.0,,,2.0012855529785156,1.8100738525390625,1.9038915634155273,1.8961429595947266,1.893758773803711,,,
