layer,name,operation,batchsize,matsize,kernelsize,channels_in,channels_out,strides,padding,activation_fct,use_bias,poolsize,time_max,time_min,time_median,time_mean,time_trim_mean,pre_time_abse,pre_time_re,pre_time_rmse
1,block1_conv1,<class 'keras.layers.convolutional.Conv2D'>,128,224,3.0,3,64.0,1.0,1.0,0.0,1.0,,152.40144729614258,152.0388126373291,152.24575996398926,152.24642753601074,152.25300192832947,,,
2,block1_conv2,<class 'keras.layers.convolutional.Conv2D'>,128,224,3.0,64,64.0,1.0,1.0,0.0,1.0,,191.97511672973633,191.4839744567871,191.64025783538818,191.6639804840088,191.64758920669556,,,
3,block1_pool,<class 'keras.layers.pooling.MaxPooling2D'>,128,224,,64,,2.0,0.0,,,2.0,54.76069450378418,54.63576316833496,54.68916893005371,54.69393730163574,54.692864418029785,,,
4,block2_conv1,<class 'keras.layers.convolutional.Conv2D'>,128,112,3.0,64,128.0,1.0,1.0,0.0,1.0,,89.06793594360352,88.37127685546875,88.43803405761719,88.5918378829956,88.55989575386047,,,
5,block2_conv2,<class 'keras.layers.convolutional.Conv2D'>,128,112,3.0,128,128.0,1.0,1.0,0.0,1.0,,103.97911071777344,100.61025619506836,102.36847400665283,102.43849754333496,102.47445106506348,,,
6,block2_pool,<class 'keras.layers.pooling.MaxPooling2D'>,128,112,,128,,2.0,0.0,,,2.0,24.148225784301758,24.09648895263672,24.12402629852295,24.124741554260254,24.125337600708008,,,
7,block3_conv1,<class 'keras.layers.convolutional.Conv2D'>,128,56,3.0,128,256.0,1.0,1.0,0.0,1.0,,49.86858367919922,49.3922233581543,49.453020095825195,49.48856830596924,49.45310950279236,,,
8,block3_conv2,<class 'keras.layers.convolutional.Conv2D'>,128,56,3.0,256,256.0,1.0,1.0,0.0,1.0,,58.34341049194336,57.416439056396484,57.659268379211426,57.668375968933105,57.6154887676239,,,
9,block3_conv3,<class 'keras.layers.convolutional.Conv2D'>,128,56,3.0,256,256.0,1.0,1.0,0.0,1.0,,57.88826942443848,57.38520622253418,57.532548904418945,57.55612850189209,57.53597617149353,,,
10,block3_conv4,<class 'keras.layers.convolutional.Conv2D'>,128,56,3.0,256,256.0,1.0,1.0,0.0,1.0,,57.856082916259766,57.40642547607422,57.5636625289917,57.58516788482666,57.57364630699158,,,
11,block3_pool,<class 'keras.layers.pooling.MaxPooling2D'>,128,56,,256,,2.0,0.0,,,2.0,12.924432754516602,12.814998626708984,12.87841796875,12.877607345581055,12.87958025932312,,,
12,block4_conv1,<class 'keras.layers.convolutional.Conv2D'>,128,28,3.0,256,512.0,1.0,1.0,0.0,1.0,,28.339624404907227,27.29344367980957,27.76050567626953,27.695417404174805,27.665138244628906,,,
13,block4_conv2,<class 'keras.layers.convolutional.Conv2D'>,128,28,3.0,512,512.0,1.0,1.0,0.0,1.0,,34.992218017578125,34.05117988586426,34.18111801147461,34.342026710510254,34.29710865020752,,,
14,block4_conv3,<class 'keras.layers.convolutional.Conv2D'>,128,28,3.0,512,512.0,1.0,1.0,0.0,1.0,,34.543752670288086,33.96725654602051,34.31975841522217,34.31389331817627,34.32849049568176,,,
15,block4_conv4,<class 'keras.layers.convolutional.Conv2D'>,128,28,3.0,512,512.0,1.0,1.0,0.0,1.0,,34.45172309875488,33.88476371765137,34.195542335510254,34.14924144744873,34.14449095726013,,,
16,block4_pool,<class 'keras.layers.pooling.MaxPooling2D'>,128,28,,512,,2.0,0.0,,,2.0,6.212472915649414,6.145000457763672,6.179451942443848,6.17983341217041,6.180107593536377,,,
17,block5_conv1,<class 'keras.layers.convolutional.Conv2D'>,128,14,3.0,512,512.0,1.0,1.0,0.0,1.0,,10.665416717529297,10.340452194213867,10.347247123718262,10.37900447845459,10.348021984100342,,,
18,block5_conv2,<class 'keras.layers.convolutional.Conv2D'>,128,14,3.0,512,512.0,1.0,1.0,0.0,1.0,,10.073184967041016,9.99760627746582,10.033011436462402,10.031461715698242,10.030478239059448,,,
19,block5_conv3,<class 'keras.layers.convolutional.Conv2D'>,128,14,3.0,512,512.0,1.0,1.0,0.0,1.0,,10.121822357177734,9.995222091674805,10.062336921691895,10.065841674804688,10.067671537399292,,,
20,block5_conv4,<class 'keras.layers.convolutional.Conv2D'>,128,14,3.0,512,512.0,1.0,1.0,0.0,1.0,,10.163307189941406,10.014533996582031,10.09523868560791,10.088706016540527,10.08865237236023,,,
21,block5_pool,<class 'keras.layers.pooling.MaxPooling2D'>,128,14,,512,,2.0,0.0,,,2.0,1.8167495727539062,1.772165298461914,1.808762550354004,1.7976045608520508,1.798391342163086,,,
22,fc1,<class 'keras.layers.core.Dense'>,128,1,,25088,4096.0,,,1.0,,,3.384113311767578,3.3521652221679688,3.3789873123168945,3.376483917236328,3.378570079803467,,,
23,fc2,<class 'keras.layers.core.Dense'>,128,1,,4096,4096.0,,,1.0,,,0.9603500366210938,0.9047985076904297,0.9210109710693359,0.9324550628662109,0.9324252605438232,,,
24,predictions,<class 'keras.layers.core.Dense'>,128,1,,4096,1000.0,,,1.0,,,0.5211830139160156,0.44536590576171875,0.49591064453125,0.4915475845336914,0.49361586570739746,,,
