layer,name,operation,batchsize,matsize,kernelsize,channels_in,channels_out,strides,padding,activation_fct,use_bias,poolsize,time_max,time_min,time_median,time_mean,time_trim_mean,pre_time_abse,pre_time_re,pre_time_rmse
1,block1_conv1,<class 'keras.layers.convolutional.Conv2D'>,64,224,3.0,3,64.0,1.0,1.0,0.0,1.0,,75.9725570678711,75.75845718383789,75.89447498321533,75.882887840271,75.88723301887512,,,
2,block1_conv2,<class 'keras.layers.convolutional.Conv2D'>,64,224,3.0,64,64.0,1.0,1.0,0.0,1.0,,95.59416770935059,95.32928466796875,95.5359935760498,95.50681114196777,95.5180823802948,,,
3,block1_pool,<class 'keras.layers.pooling.MaxPooling2D'>,64,224,,64,,2.0,0.0,,,2.0,27.545928955078125,27.424335479736328,27.484416961669922,27.484798431396484,27.4847149848938,,,
4,block2_conv1,<class 'keras.layers.convolutional.Conv2D'>,64,112,3.0,64,128.0,1.0,1.0,0.0,1.0,,44.271230697631836,44.12436485290527,44.182777404785156,44.194936752319336,44.19422149658203,,,
5,block2_conv2,<class 'keras.layers.convolutional.Conv2D'>,64,112,3.0,128,128.0,1.0,1.0,0.0,1.0,,50.77695846557617,50.18162727355957,50.53865909576416,50.516533851623535,50.52584409713745,,,
6,block2_pool,<class 'keras.layers.pooling.MaxPooling2D'>,64,112,,128,,2.0,0.0,,,2.0,12.259721755981445,12.14742660522461,12.19642162322998,12.206411361694336,12.207120656967163,,,
7,block3_conv1,<class 'keras.layers.convolutional.Conv2D'>,64,56,3.0,128,256.0,1.0,1.0,0.0,1.0,,24.941682815551758,24.7957706451416,24.876117706298828,24.86875057220459,24.868756532669067,,,
8,block3_conv2,<class 'keras.layers.convolutional.Conv2D'>,64,56,3.0,256,256.0,1.0,1.0,0.0,1.0,,29.788732528686523,28.847217559814453,29.05404567718506,29.145169258117676,29.101967811584473,,,
9,block3_conv3,<class 'keras.layers.convolutional.Conv2D'>,64,56,3.0,256,256.0,1.0,1.0,0.0,1.0,,28.94282341003418,28.81455421447754,28.865814208984375,28.870654106140137,28.868645429611206,,,
10,block3_conv4,<class 'keras.layers.convolutional.Conv2D'>,64,56,3.0,256,256.0,1.0,1.0,0.0,1.0,,28.846263885498047,28.78403663635254,28.805851936340332,28.811240196228027,28.81026268005371,,,
11,block3_pool,<class 'keras.layers.pooling.MaxPooling2D'>,64,56,,256,,2.0,0.0,,,2.0,6.556987762451172,6.474971771240234,6.511807441711426,6.514954566955566,6.514698266983032,,,
12,block4_conv1,<class 'keras.layers.convolutional.Conv2D'>,64,28,3.0,256,512.0,1.0,1.0,0.0,1.0,,14.198780059814453,14.07480239868164,14.116764068603516,14.1340970993042,14.133423566818237,,,
13,block4_conv2,<class 'keras.layers.convolutional.Conv2D'>,64,28,3.0,512,512.0,1.0,1.0,0.0,1.0,,18.430709838867188,17.727375030517578,17.780780792236328,17.944860458374023,17.911314964294434,,,
14,block4_conv3,<class 'keras.layers.convolutional.Conv2D'>,64,28,3.0,512,512.0,1.0,1.0,0.0,1.0,,17.400741577148438,17.312049865722656,17.333269119262695,17.345738410949707,17.343074083328247,,,
15,block4_conv4,<class 'keras.layers.convolutional.Conv2D'>,64,28,3.0,512,512.0,1.0,1.0,0.0,1.0,,17.438411712646484,17.333984375,17.383217811584473,17.38603115081787,17.38598942756653,,,
16,block4_pool,<class 'keras.layers.pooling.MaxPooling2D'>,64,28,,512,,2.0,0.0,,,2.0,3.236532211303711,3.1685829162597656,3.2008886337280273,3.2017946243286133,3.201603889465332,,,
17,block5_conv1,<class 'keras.layers.convolutional.Conv2D'>,64,14,3.0,512,512.0,1.0,1.0,0.0,1.0,,5.406856536865234,5.288839340209961,5.336880683898926,5.339241027832031,5.33708930015564,,,
18,block5_conv2,<class 'keras.layers.convolutional.Conv2D'>,64,14,3.0,512,512.0,1.0,1.0,0.0,1.0,,5.302190780639648,5.20634651184082,5.238533020019531,5.243921279907227,5.241334438323975,,,
19,block5_conv3,<class 'keras.layers.convolutional.Conv2D'>,64,14,3.0,512,512.0,1.0,1.0,0.0,1.0,,5.206584930419922,5.155801773071289,5.180835723876953,5.181002616882324,5.180954933166504,,,
20,block5_conv4,<class 'keras.layers.convolutional.Conv2D'>,64,14,3.0,512,512.0,1.0,1.0,0.0,1.0,,5.315542221069336,5.215883255004883,5.305290222167969,5.291175842285156,5.297541618347168,,,
21,block5_pool,<class 'keras.layers.pooling.MaxPooling2D'>,64,14,,512,,2.0,0.0,,,2.0,0.9787082672119141,0.9145736694335938,0.9361505508422852,0.9352207183837891,0.9323656558990479,,,
22,fc1,<class 'keras.layers.core.Dense'>,64,1,,25088,4096.0,,,1.0,,,1.783609390258789,1.684427261352539,1.7219781875610352,1.7275094985961914,1.7258822917938232,,,
23,fc2,<class 'keras.layers.core.Dense'>,64,1,,4096,4096.0,,,1.0,,,0.5562305450439453,0.4863739013671875,0.5085468292236328,0.5195379257202148,0.519096851348877,,,
24,predictions,<class 'keras.layers.core.Dense'>,64,1,,4096,1000.0,,,1.0,,,0.3597736358642578,0.2143383026123047,0.2905130386352539,0.2854347229003906,0.28502941131591797,,,
