layer,name,operation,batchsize,matsize,kernelsize,channels_in,channels_out,strides,padding,activation_fct,use_bias,poolsize,time_max,time_min,time_median,time_mean,time_trim_mean,pre_time_abse,pre_time_re,pre_time_rmse
1,conv2d_1,<class 'keras.layers.convolutional.Conv2D'>,2,299,3.0,3,32.0,2.0,0.0,1.0,0.0,,0.8640289306640625,0.7710456848144531,0.7991790771484375,0.8066177368164062,0.8038878440856934,,,
2,conv2d_2,<class 'keras.layers.convolutional.Conv2D'>,2,149,3.0,32,32.0,1.0,0.0,1.0,0.0,,0.9481906890869141,0.8535385131835938,0.887751579284668,0.8897066116333008,0.8869171142578125,,,
3,conv2d_3,<class 'keras.layers.convolutional.Conv2D'>,2,147,3.0,32,64.0,1.0,1.0,1.0,0.0,,1.5263557434082031,1.422882080078125,1.4780759811401367,1.4754295349121094,1.4756321907043457,,,
4,max_pooling2d_1,<class 'keras.layers.pooling.MaxPooling2D'>,2,147,,64,,2.0,0.0,,,3.0,0.5362033843994141,0.3952980041503906,0.47791004180908203,0.4739046096801758,0.47594308853149414,,,
5,conv2d_4,<class 'keras.layers.convolutional.Conv2D'>,2,73,1.0,64,80.0,1.0,0.0,1.0,0.0,,0.6754398345947266,0.5490779876708984,0.6120204925537109,0.6077766418457031,0.6066560745239258,,,
6,conv2d_5,<class 'keras.layers.convolutional.Conv2D'>,2,73,3.0,80,192.0,1.0,0.0,1.0,0.0,,1.2950897216796875,1.264333724975586,1.2873411178588867,1.2856006622314453,1.2870728969573975,,,
7,max_pooling2d_2,<class 'keras.layers.pooling.MaxPooling2D'>,2,71,,192,,2.0,0.0,,,3.0,0.4668235778808594,0.3566741943359375,0.4055500030517578,0.40366649627685547,0.4016458988189697,,,
8,conv2d_9,<class 'keras.layers.convolutional.Conv2D'>,2,35,1.0,192,64.0,1.0,1.0,1.0,0.0,,0.39315223693847656,0.27179718017578125,0.33462047576904297,0.3391742706298828,0.3408491611480713,,,
9,conv2d_7,<class 'keras.layers.convolutional.Conv2D'>,2,35,1.0,192,48.0,1.0,1.0,0.0,0.0,,0.331878662109375,0.23055076599121094,0.2536773681640625,0.2675056457519531,0.26407837867736816,,,
10,conv2d_10,<class 'keras.layers.convolutional.Conv2D'>,2,35,3.0,64,96.0,1.0,1.0,1.0,0.0,,0.4436969757080078,0.3647804260253906,0.39386749267578125,0.3994941711425781,0.39830803871154785,,,
11,conv2d_6,<class 'keras.layers.convolutional.Conv2D'>,2,35,1.0,192,64.0,1.0,1.0,0.0,0.0,,0.3993511199951172,0.2899169921875,0.3236532211303711,0.3289937973022461,0.32508373260498047,,,
12,conv2d_8,<class 'keras.layers.convolutional.Conv2D'>,2,35,5.0,48,64.0,1.0,1.0,0.0,0.0,,0.4723072052001953,0.37384033203125,0.45359134674072266,0.4305601119995117,0.432431697845459,,,
13,conv2d_11,<class 'keras.layers.convolutional.Conv2D'>,2,35,3.0,96,96.0,1.0,1.0,0.0,0.0,,0.4570484161376953,0.3349781036376953,0.38743019104003906,0.38733482360839844,0.3851652145385742,,,
14,conv2d_12,<class 'keras.layers.convolutional.Conv2D'>,2,35,1.0,192,32.0,1.0,1.0,1.0,0.0,,0.33974647521972656,0.2512931823730469,0.27930736541748047,0.28624534606933594,0.28392672538757324,,,
15,conv2d_16,<class 'keras.layers.convolutional.Conv2D'>,2,35,1.0,256,64.0,1.0,1.0,1.0,0.0,,0.3833770751953125,0.3407001495361328,0.36394596099853516,0.36509037017822266,0.36585330963134766,,,
16,conv2d_14,<class 'keras.layers.convolutional.Conv2D'>,2,35,1.0,256,48.0,1.0,1.0,0.0,0.0,,0.3235340118408203,0.2307891845703125,0.2614259719848633,0.2704143524169922,0.26872754096984863,,,
17,conv2d_17,<class 'keras.layers.convolutional.Conv2D'>,2,35,3.0,64,96.0,1.0,1.0,1.0,0.0,,0.4725456237792969,0.3514289855957031,0.4055500030517578,0.40259361267089844,0.40024518966674805,,,
18,conv2d_13,<class 'keras.layers.convolutional.Conv2D'>,2,35,1.0,256,64.0,1.0,1.0,0.0,0.0,,0.3173351287841797,0.25534629821777344,0.28145313262939453,0.2842426300048828,0.2837181091308594,,,
19,conv2d_15,<class 'keras.layers.convolutional.Conv2D'>,2,35,5.0,48,64.0,1.0,1.0,0.0,0.0,,0.4639625549316406,0.39315223693847656,0.40912628173828125,0.4124641418457031,0.40844082832336426,,,
20,conv2d_18,<class 'keras.layers.convolutional.Conv2D'>,2,35,3.0,96,96.0,1.0,1.0,0.0,0.0,,0.46825408935546875,0.3457069396972656,0.35941600799560547,0.37686824798583984,0.369340181350708,,,
21,conv2d_19,<class 'keras.layers.convolutional.Conv2D'>,2,35,1.0,256,64.0,1.0,1.0,1.0,0.0,,0.3292560577392578,0.29277801513671875,0.2993345260620117,0.30553340911865234,0.30416250228881836,,,
