layer,name,operation,batchsize,matsize,kernelsize,channels_in,channels_out,strides,padding,activation_fct,use_bias,poolsize,time_max,time_min,time_median,time_mean,time_trim_mean,pre_time
55,conv2d_56,<class 'keras.layers.convolutional.Conv2D'>,64,17,7,160,160,1,1,1,0,,,,,,,
56,conv2d_52,<class 'keras.layers.convolutional.Conv2D'>,64,17,1,768,160,1,1,0,0,,,,,,,
57,conv2d_57,<class 'keras.layers.convolutional.Conv2D'>,64,17,1,160,160,1,1,1,0,,,,,,,
58,conv2d_53,<class 'keras.layers.convolutional.Conv2D'>,64,17,1,160,160,1,1,0,0,,,,,,,
59,conv2d_58,<class 'keras.layers.convolutional.Conv2D'>,64,17,7,160,160,1,1,1,0,,,,,,,
60,conv2d_51,<class 'keras.layers.convolutional.Conv2D'>,64,17,1,768,192,1,1,0,0,,,,,,,
61,conv2d_54,<class 'keras.layers.convolutional.Conv2D'>,64,17,7,160,192,1,1,0,0,,,,,,,
62,conv2d_59,<class 'keras.layers.convolutional.Conv2D'>,64,17,1,160,192,1,1,0,0,,,,,,,
63,conv2d_60,<class 'keras.layers.convolutional.Conv2D'>,64,17,1,768,192,1,1,1,0,,,,,,,
64,conv2d_65,<class 'keras.layers.convolutional.Conv2D'>,64,17,1,768,192,1,1,1,0,,,,,,,
65,conv2d_66,<class 'keras.layers.convolutional.Conv2D'>,64,17,7,192,192,1,1,1,0,,,,,,,
66,conv2d_62,<class 'keras.layers.convolutional.Conv2D'>,64,17,1,768,192,1,1,0,0,,,,,,,
67,conv2d_67,<class 'keras.layers.convolutional.Conv2D'>,64,17,1,192,192,1,1,1,0,,,,,,,
68,conv2d_63,<class 'keras.layers.convolutional.Conv2D'>,64,17,1,192,192,1,1,0,0,,,,,,,
69,conv2d_68,<class 'keras.layers.convolutional.Conv2D'>,64,17,7,192,192,1,1,1,0,,,,,,,
70,conv2d_61,<class 'keras.layers.convolutional.Conv2D'>,64,17,1,768,192,1,1,0,0,,,,,,,
71,conv2d_64,<class 'keras.layers.convolutional.Conv2D'>,64,17,7,192,192,1,1,0,0,,,,,,,
72,conv2d_69,<class 'keras.layers.convolutional.Conv2D'>,64,17,1,192,192,1,1,0,0,,,,,,,
73,conv2d_70,<class 'keras.layers.convolutional.Conv2D'>,64,17,1,768,192,1,1,1,0,,,,,,,
74,conv2d_73,<class 'keras.layers.convolutional.Conv2D'>,64,17,1,768,192,1,1,1,0,,,,,,,
75,conv2d_74,<class 'keras.layers.convolutional.Conv2D'>,64,17,1,192,192,1,1,1,0,,,,,,,
76,conv2d_71,<class 'keras.layers.convolutional.Conv2D'>,64,17,1,768,192,1,1,0,0,,,,,,,
77,conv2d_75,<class 'keras.layers.convolutional.Conv2D'>,64,17,7,192,192,1,1,1,0,,,,,,,
78,conv2d_72,<class 'keras.layers.convolutional.Conv2D'>,64,17,3,192,320,2,0,0,0,,,,,,,
79,conv2d_76,<class 'keras.layers.convolutional.Conv2D'>,64,17,3,192,192,2,0,1,0,,,,,,,
80,max_pooling2d_4,<class 'keras.layers.pooling.MaxPooling2D'>,64,17,,768,,2,0,,,3,,,,,,
81,conv2d_81,<class 'keras.layers.convolutional.Conv2D'>,64,8,1,1280,448,1,1,1,0,,,,,,,
82,conv2d_78,<class 'keras.layers.convolutional.Conv2D'>,64,8,1,1280,384,1,1,0,0,,,,,,,
83,conv2d_82,<class 'keras.layers.convolutional.Conv2D'>,64,8,3,448,384,1,1,1,0,,,,,,,
84,conv2d_79,<class 'keras.layers.convolutional.Conv2D'>,64,8,1,384,384,1,1,0,0,,,,,,,
85,conv2d_80,<class 'keras.layers.convolutional.Conv2D'>,64,8,3,384,384,1,1,0,0,,,,,,,
86,conv2d_83,<class 'keras.layers.convolutional.Conv2D'>,64,8,1,384,384,1,1,0,0,,,,,,,
87,conv2d_84,<class 'keras.layers.convolutional.Conv2D'>,64,8,3,384,384,1,1,0,0,,,,,,,
88,conv2d_77,<class 'keras.layers.convolutional.Conv2D'>,64,8,1,1280,320,1,1,0,0,,,,,,,
89,conv2d_85,<class 'keras.layers.convolutional.Conv2D'>,64,8,1,1280,192,1,1,1,0,,,,,,,
90,conv2d_90,<class 'keras.layers.convolutional.Conv2D'>,64,8,1,2048,448,1,1,1,0,,,,,,,
91,conv2d_87,<class 'keras.layers.convolutional.Conv2D'>,64,8,1,2048,384,1,1,0,0,,,,,,,
92,conv2d_91,<class 'keras.layers.convolutional.Conv2D'>,64,8,3,448,384,1,1,1,0,,,,,,,
93,conv2d_88,<class 'keras.layers.convolutional.Conv2D'>,64,8,1,384,384,1,1,0,0,,,,,,,
94,conv2d_89,<class 'keras.layers.convolutional.Conv2D'>,64,8,3,384,384,1,1,0,0,,,,,,,
95,conv2d_92,<class 'keras.layers.convolutional.Conv2D'>,64,8,1,384,384,1,1,0,0,,,,,,,
96,conv2d_93,<class 'keras.layers.convolutional.Conv2D'>,64,8,3,384,384,1,1,0,0,,,,,,,
97,conv2d_86,<class 'keras.layers.convolutional.Conv2D'>,64,8,1,2048,320,1,1,0,0,,,,,,,
98,conv2d_94,<class 'keras.layers.convolutional.Conv2D'>,64,8,1,2048,192,1,1,1,0,,,,,,,
99,avg_pool,<class 'keras.layers.pooling.GlobalAveragePooling2D'>,64,8,,2048,,1,0,,,8,,,,,,
100,predictions,<class 'keras.layers.core.Dense'>,64,1,,2048,1000,,,1,,,,,,,,
