epochs,avg_loss,test_loss,mean_ree,mean_abse,re_min,abs_min
0.0,0.3929338255035343,0.16946354508399963,0.4278303419788258,10.49747356546476,0.4278303419788258,10.49747356546476
1.0,0.11699899382142613,0.09574542194604874,0.365715460748561,7.05605987447945,0.365715460748561,7.05605987447945
2.0,0.0782998339580828,0.06382953375577927,0.2334975731530098,5.706187858399593,0.2334975731530098,5.706187858399593
3.0,0.06225177775154998,0.05440541356801987,0.22422498275215996,5.134140848031423,0.22422498275215996,5.134140848031423
4.0,0.0558246203076674,0.056475237011909485,0.23908000913718022,4.880331089232392,0.22422498275215996,5.134140848031423
5.0,0.052453439400743825,0.04256642609834671,0.18991300491220303,4.668535241922004,0.18991300491220303,4.668535241922004
6.0,0.04821910360442802,0.0470217727124691,0.21043798228207844,4.940520864010608,0.18991300491220303,4.668535241922004
7.0,0.04194631114967471,0.04227902367711067,0.1960765251950431,4.544768768719469,0.18991300491220303,4.668535241922004
8.0,0.04253805410474351,0.04644831269979477,0.18001896263387618,5.2220367455371,0.18001896263387618,5.2220367455371
9.0,0.03952359479230479,0.031986840069293976,0.1575353088005839,3.9194579417317073,0.1575353088005839,3.9194579417317073
10.0,0.036498834583550875,0.0333663672208786,0.16692524962027244,3.801340201554012,0.1575353088005839,3.9194579417317073
11.0,0.0357805565039296,0.0331609770655632,0.16920058237409588,4.024508220591672,0.1575353088005839,3.9194579417317073
12.0,0.0346261584269467,0.04063398391008377,0.16647529741364703,4.415859386426789,0.1575353088005839,3.9194579417317073
13.0,0.03264125240748242,0.031054742634296417,0.14879148382683674,3.589337024221446,0.14879148382683674,3.589337024221446
14.0,0.032325387104297235,0.03013385459780693,0.1426753662643815,4.400434886377545,0.1426753662643815,4.400434886377545
15.0,0.030128328419570496,0.02555573172867298,0.14007926443220856,3.566614071041745,0.14007926443220856,3.566614071041745
16.0,0.03112600694126536,0.026752466335892677,0.1494376564698685,3.4193978629504045,0.14007926443220856,3.566614071041745
17.0,0.030654802894604996,0.02895153872668743,0.14711873681021612,3.948868552577939,0.14007926443220856,3.566614071041745
18.0,0.029733597092441656,0.026615310460329056,0.13870684330937733,3.671440667572451,0.13870684330937733,3.671440667572451
19.0,0.028406986811839716,0.023144518956542015,0.13106479566025633,3.154816393601308,0.13106479566025633,3.154816393601308
20.0,0.028845044901407827,0.03149489685893059,0.15084887412761874,3.5817144257613576,0.13106479566025633,3.154816393601308
21.0,0.027991858483758802,0.023710288107395172,0.14399263964906409,3.121751693744532,0.13106479566025633,3.154816393601308
22.0,0.027605319945717542,0.029578549787402153,0.16339303907241928,3.55588363758157,0.13106479566025633,3.154816393601308
23.0,0.027058439807835302,0.03517235815525055,0.15656463039601956,3.893306520306413,0.13106479566025633,3.154816393601308
24.0,0.027506072300551788,0.026724591851234436,0.13580905685115924,3.794256542316912,0.13106479566025633,3.154816393601308
25.0,0.02742138024030335,0.02611207589507103,0.13638534755191103,3.457140260409384,0.13106479566025633,3.154816393601308
26.0,0.025396864529627607,0.02363642305135727,0.13351193968689243,3.337552488201927,0.13106479566025633,3.154816393601308
27.0,0.02606895860078045,0.03088490478694439,0.1478436825006582,3.6108527755732536,0.13106479566025633,3.154816393601308
