layer,name,operation,batchsize,matsize,kernelsize,channels_in,channels_out,strides,padding,activation_fct,use_bias,poolsize,time_max,time_min,time_median,time_mean,time_trim_mean,pre_time_abse,pre_time_re,pre_time_rmse
1,conv1,<class 'keras.layers.convolutional.Conv2D'>,32,230,7.0,3,64.0,2.0,0.0,1.0,1.0,,10.994195938110352,10.916471481323242,10.939478874206543,10.951399803161621,10.950416326522827,,,
2,max_pooling2d_1,<class 'keras.layers.pooling.MaxPooling2D'>,32,114,,64,,2.0,0.0,,,3.0,2.61688232421875,2.483367919921875,2.574801445007324,2.5658130645751953,2.569735050201416,,,
3,res2a_branch2a,<class 'keras.layers.convolutional.Conv2D'>,32,56,1.0,64,64.0,1.0,0.0,1.0,1.0,,2.9921531677246094,2.8946399688720703,2.932906150817871,2.936720848083496,2.935051918029785,,,
4,res2a_branch2b,<class 'keras.layers.convolutional.Conv2D'>,32,56,3.0,64,64.0,1.0,1.0,1.0,1.0,,3.349781036376953,3.256559371948242,3.3104419708251953,3.307223320007324,3.308236598968506,,,
5,res2a_branch2c,<class 'keras.layers.convolutional.Conv2D'>,32,56,1.0,64,256.0,1.0,0.0,0.0,1.0,,9.969472885131836,9.900569915771484,9.940147399902344,9.93502140045166,9.93502140045166,,,
6,res2a_branch1,<class 'keras.layers.convolutional.Conv2D'>,32,56,1.0,64,256.0,1.0,0.0,1.0,1.0,,10.607242584228516,10.536432266235352,10.566115379333496,10.568046569824219,10.56709885597229,,,
7,res2b_branch2a,<class 'keras.layers.convolutional.Conv2D'>,32,56,1.0,256,64.0,1.0,0.0,1.0,1.0,,3.717184066772461,3.6144256591796875,3.6482810974121094,3.6580801010131836,3.656148910522461,,,
8,res2b_branch2b,<class 'keras.layers.convolutional.Conv2D'>,32,56,3.0,64,64.0,1.0,1.0,1.0,1.0,,3.3674240112304688,3.247976303100586,3.3190250396728516,3.311038017272949,3.3118724822998047,,,
9,res2b_branch2c,<class 'keras.layers.convolutional.Conv2D'>,32,56,1.0,64,256.0,1.0,0.0,1.0,1.0,,10.606765747070312,10.533332824707031,10.582923889160156,10.577774047851562,10.579705238342285,,,
10,res2c_branch2a,<class 'keras.layers.convolutional.Conv2D'>,32,56,1.0,256,64.0,1.0,0.0,1.0,1.0,,3.6995410919189453,3.6284923553466797,3.648519515991211,3.657102584838867,3.655374050140381,,,
