layer,name,operation,batchsize,matsize,kernelsize,channels_in,channels_out,strides,padding,activation_fct,use_bias,poolsize,time_max,time_min,time_median,time_mean,time_trim_mean,pre_time_abse,pre_time_re,pre_time_rmse
1,conv1,<class 'keras.layers.convolutional.Conv2D'>,8,230,7.0,3,64.0,2.0,0.0,1.0,1.0,,3.0775070190429688,2.9630661010742188,3.0210018157958984,3.014206886291504,3.0126869678497314,,,
2,max_pooling2d_1,<class 'keras.layers.pooling.MaxPooling2D'>,8,114,,64,,2.0,0.0,,,3.0,0.8924007415771484,0.8308887481689453,0.8376836776733398,0.8424043655395508,0.8375942707061768,,,
3,res2a_branch2a,<class 'keras.layers.convolutional.Conv2D'>,8,56,1.0,64,64.0,1.0,0.0,1.0,1.0,,1.043081283569336,0.9303092956542969,0.9818077087402344,0.9852886199951172,0.9849369525909424,,,
4,res2a_branch2b,<class 'keras.layers.convolutional.Conv2D'>,8,56,3.0,64,64.0,1.0,1.0,1.0,1.0,,1.1212825775146484,1.0383129119873047,1.0764598846435547,1.0840415954589844,1.0851025581359863,,,
5,res2a_branch2c,<class 'keras.layers.convolutional.Conv2D'>,8,56,1.0,64,256.0,1.0,0.0,0.0,1.0,,2.7191638946533203,2.703428268432617,2.7074813842773438,2.709674835205078,2.7092695236206055,,,
6,res2a_branch1,<class 'keras.layers.convolutional.Conv2D'>,8,56,1.0,64,256.0,1.0,0.0,1.0,1.0,,2.917766571044922,2.8412342071533203,2.893805503845215,2.8879165649414062,2.8900206089019775,,,
7,res2b_branch2a,<class 'keras.layers.convolutional.Conv2D'>,8,56,1.0,256,64.0,1.0,0.0,1.0,1.0,,1.2140274047851562,1.1217594146728516,1.2006759643554688,1.181936264038086,1.1854469776153564,,,
8,res2b_branch2b,<class 'keras.layers.convolutional.Conv2D'>,8,56,3.0,64,64.0,1.0,1.0,1.0,1.0,,1.1043548583984375,1.0318756103515625,1.0519027709960938,1.0580778121948242,1.0555684566497803,,,
9,res2b_branch2c,<class 'keras.layers.convolutional.Conv2D'>,8,56,1.0,64,256.0,1.0,0.0,1.0,1.0,,2.958059310913086,2.886056900024414,2.9227733612060547,2.9192209243774414,2.9185116291046143,,,
10,res2c_branch2a,<class 'keras.layers.convolutional.Conv2D'>,8,56,1.0,256,64.0,1.0,0.0,1.0,1.0,,1.2094974517822266,1.1441707611083984,1.1998414993286133,1.1876583099365234,1.1903643608093262,,,
11,res2c_branch2b,<class 'keras.layers.convolutional.Conv2D'>,8,56,3.0,64,64.0,1.0,1.0,1.0,1.0,,1.104593276977539,1.0247230529785156,1.0734796524047852,1.0703325271606445,1.0717511177062988,,,
12,res2c_branch2c,<class 'keras.layers.convolutional.Conv2D'>,8,56,1.0,64,256.0,1.0,0.0,1.0,1.0,,2.8657913208007812,2.836465835571289,2.859830856323242,2.855682373046875,2.856820821762085,,,
13,res3a_branch2a,<class 'keras.layers.convolutional.Conv2D'>,8,56,1.0,256,128.0,2.0,0.0,1.0,1.0,,0.8418560028076172,0.7925033569335938,0.8245706558227539,0.8195161819458008,0.8201003074645996,,,
14,res3a_branch2b,<class 'keras.layers.convolutional.Conv2D'>,8,28,3.0,128,128.0,1.0,1.0,1.0,1.0,,0.7328987121582031,0.7128715515136719,0.7216930389404297,0.7223367691040039,0.7221996784210205,,,
15,res3a_branch2c,<class 'keras.layers.convolutional.Conv2D'>,8,28,1.0,128,512.0,1.0,0.0,0.0,1.0,,1.598358154296875,1.5058517456054688,1.530766487121582,1.534891128540039,1.5305876731872559,,,
