layer,name,operation,batchsize,matsize,kernelsize,channels_in,channels_out,strides,padding,activation_fct,use_bias,poolsize,time_max,time_min,time_median,time_mean,time_trim_mean,pre_time_abse,pre_time_re,pre_time_rmse
28,res4a_branch2c,<class 'keras.layers.convolutional.Conv2D'>,16,14,1.0,256,1024.0,1.0,0.0,0.0,1.0,,1.665353775024414,1.6493797302246094,1.6574859619140625,1.6573429107666016,1.657336950302124,,,
29,res4a_branch1,<class 'keras.layers.convolutional.Conv2D'>,16,28,1.0,512,1024.0,2.0,0.0,1.0,1.0,,2.0754337310791016,2.0537376403808594,2.0651817321777344,2.065443992614746,2.0656585693359375,,,
30,res4b_branch2a,<class 'keras.layers.convolutional.Conv2D'>,16,14,1.0,1024,256.0,1.0,0.0,1.0,1.0,,0.8614063262939453,0.843048095703125,0.8522272109985352,0.8534669876098633,0.8537769317626953,,,
31,res4b_branch2b,<class 'keras.layers.convolutional.Conv2D'>,16,14,3.0,256,256.0,1.0,1.0,1.0,1.0,,0.8738040924072266,0.8268356323242188,0.8640289306640625,0.8619546890258789,0.864863395690918,,,
32,res4b_branch2c,<class 'keras.layers.convolutional.Conv2D'>,16,14,1.0,256,1024.0,1.0,0.0,1.0,1.0,,1.7418861389160156,1.6472339630126953,1.6840696334838867,1.6893386840820312,1.6880333423614502,,,
33,res4c_branch2a,<class 'keras.layers.convolutional.Conv2D'>,16,14,1.0,1024,256.0,1.0,0.0,1.0,1.0,,0.8146762847900391,0.7259845733642578,0.7622241973876953,0.765228271484375,0.7639527320861816,,,
34,res4c_branch2b,<class 'keras.layers.convolutional.Conv2D'>,16,14,3.0,256,256.0,1.0,1.0,1.0,1.0,,0.8518695831298828,0.7433891296386719,0.8025169372558594,0.7986783981323242,0.7989406585693359,,,
35,res4c_branch2c,<class 'keras.layers.convolutional.Conv2D'>,16,14,1.0,256,1024.0,1.0,0.0,1.0,1.0,,1.6722679138183594,1.5959739685058594,1.6273260116577148,1.6334056854248047,1.6332268714904785,,,
36,res4d_branch2a,<class 'keras.layers.convolutional.Conv2D'>,16,14,1.0,1024,256.0,1.0,0.0,1.0,1.0,,0.8461475372314453,0.7562637329101562,0.7889270782470703,0.7915019989013672,0.7890760898590088,,,
37,res4d_branch2b,<class 'keras.layers.convolutional.Conv2D'>,16,14,3.0,256,256.0,1.0,1.0,1.0,1.0,,0.8611679077148438,0.7481575012207031,0.8082389831542969,0.8019447326660156,0.8012652397155762,,,
38,res4d_branch2c,<class 'keras.layers.convolutional.Conv2D'>,16,14,1.0,256,1024.0,1.0,0.0,1.0,1.0,,1.7216205596923828,1.6031265258789062,1.6678571701049805,1.6633272171020508,1.6635656356811523,,,
39,res4e_branch2a,<class 'keras.layers.convolutional.Conv2D'>,16,14,1.0,1024,256.0,1.0,0.0,1.0,1.0,,0.8580684661865234,0.7395744323730469,0.8009672164916992,0.8094310760498047,0.8120834827423096,,,
40,res4e_branch2b,<class 'keras.layers.convolutional.Conv2D'>,16,14,3.0,256,256.0,1.0,1.0,1.0,1.0,,0.8678436279296875,0.7846355438232422,0.7990598678588867,0.8195877075195312,0.8179247379302979,,,
41,res4e_branch2c,<class 'keras.layers.convolutional.Conv2D'>,16,14,1.0,256,1024.0,1.0,0.0,1.0,1.0,,1.739501953125,1.617431640625,1.6813278198242188,1.6897916793823242,1.6926229000091553,,,
42,res4f_branch2a,<class 'keras.layers.convolutional.Conv2D'>,16,14,1.0,1024,256.0,1.0,0.0,1.0,1.0,,0.8599758148193359,0.8182525634765625,0.8502006530761719,0.8475065231323242,0.849604606628418,,,
43,res4f_branch2b,<class 'keras.layers.convolutional.Conv2D'>,16,14,3.0,256,256.0,1.0,1.0,1.0,1.0,,0.8728504180908203,0.8594989776611328,0.8622407913208008,0.8637189865112305,0.863105058670044,,,
44,res4f_branch2c,<class 'keras.layers.convolutional.Conv2D'>,16,14,1.0,256,1024.0,1.0,0.0,1.0,1.0,,1.7445087432861328,1.668691635131836,1.7186403274536133,1.7116546630859375,1.7129182815551758,,,
45,res5a_branch2a,<class 'keras.layers.convolutional.Conv2D'>,16,14,1.0,1024,512.0,2.0,0.0,1.0,1.0,,0.6644725799560547,0.6284713745117188,0.6568431854248047,0.6540060043334961,0.6558895111083984,,,
46,res5a_branch2b,<class 'keras.layers.convolutional.Conv2D'>,16,7,3.0,512,512.0,1.0,1.0,1.0,1.0,,1.0395050048828125,0.9860992431640625,1.0085105895996094,1.0113000869750977,1.0109245777130127,,,
47,res5a_branch2c,<class 'keras.layers.convolutional.Conv2D'>,16,7,1.0,512,2048.0,1.0,0.0,0.0,1.0,,1.0981559753417969,1.0786056518554688,1.0913610458374023,1.0912895202636719,1.0920166969299316,,,
48,res5a_branch1,<class 'keras.layers.convolutional.Conv2D'>,16,14,1.0,1024,2048.0,2.0,0.0,1.0,1.0,,1.407623291015625,1.3356208801269531,1.4028549194335938,1.3953685760498047,1.4013051986694336,,,
49,res5b_branch2a,<class 'keras.layers.convolutional.Conv2D'>,16,7,1.0,2048,512.0,1.0,0.0,1.0,1.0,,0.7405281066894531,0.6933212280273438,0.7346868515014648,0.730443000793457,0.7338225841522217,,,
50,res5b_branch2b,<class 'keras.layers.convolutional.Conv2D'>,16,7,3.0,512,512.0,1.0,1.0,1.0,1.0,,1.0380744934082031,0.9403228759765625,1.0045766830444336,0.9956598281860352,0.9972751140594482,,,
51,res5b_branch2c,<class 'keras.layers.convolutional.Conv2D'>,16,7,1.0,512,2048.0,1.0,0.0,1.0,1.0,,1.1365413665771484,1.0223388671875,1.0682344436645508,1.071000099182129,1.06889009475708,,,
52,res5c_branch2a,<class 'keras.layers.convolutional.Conv2D'>,16,7,1.0,2048,512.0,1.0,0.0,1.0,1.0,,0.7314682006835938,0.6251335144042969,0.6819963455200195,0.6790876388549805,0.6792843341827393,,,
53,res5c_branch2b,<class 'keras.layers.convolutional.Conv2D'>,16,7,3.0,512,512.0,1.0,1.0,1.0,1.0,,1.0676383972167969,1.0404586791992188,1.0629892349243164,1.0607004165649414,1.0623633861541748,,,
54,res5c_branch2c,<class 'keras.layers.convolutional.Conv2D'>,16,7,1.0,512,2048.0,1.0,0.0,1.0,1.0,,1.108407974243164,1.094818115234375,1.0994672775268555,1.100468635559082,1.1001825332641602,,,
55,avg_pool,<class 'keras.layers.pooling.GlobalAveragePooling2D'>,16,7,,2048,,1.0,0.0,,,7.0,0.35643577575683594,0.18739700317382812,0.24878978729248047,0.2518653869628906,0.24685263633728027,,,
56,fc1000,<class 'keras.layers.core.Dense'>,16,1,,2048,1000.0,,,1.0,,,0.3478527069091797,0.23555755615234375,0.2753734588623047,0.28307437896728516,0.280916690826416,,,
