layer,name,operation,batchsize,matsize,kernelsize,channels_in,channels_out,strides,padding,activation_fct,use_bias,poolsize,time_max,time_min,time_median,time_mean,time_trim_mean,pre_time_abse,pre_time_re,pre_time_rmse
1,conv2d_1,<class 'keras.layers.convolutional.Conv2D'>,128,227,11.0,3,96.0,4.0,0.0,0.0,1.0,,17.315387725830078,17.244577407836914,17.27592945098877,17.275595664978027,17.27449893951416,,,
2,max_pooling2d_1,<class 'keras.layers.pooling.MaxPooling2D'>,128,55,,96,,2.0,0.0,,,3.0,3.5309791564941406,3.3957958221435547,3.4942626953125,3.4857749938964844,3.4913718700408936,,,
3,conv2d_2,<class 'keras.layers.convolutional.Conv2D'>,128,27,5.0,96,256.0,1.0,1.0,0.0,1.0,,11.383056640625,11.153936386108398,11.235833168029785,11.257410049438477,11.254638433456421,,,
4,max_pooling2d_2,<class 'keras.layers.pooling.MaxPooling2D'>,128,27,,256,,2.0,0.0,,,3.0,2.2919178009033203,2.2416114807128906,2.2503137588500977,2.261042594909668,2.2596120834350586,,,
5,conv2d_3,<class 'keras.layers.convolutional.Conv2D'>,128,13,3.0,256,384.0,1.0,1.0,0.0,1.0,,5.546808242797852,5.349636077880859,5.477786064147949,5.448174476623535,5.44816255569458,,,
6,conv2d_4,<class 'keras.layers.convolutional.Conv2D'>,128,13,3.0,384,384.0,1.0,1.0,0.0,1.0,,6.598711013793945,6.470441818237305,6.512761116027832,6.517934799194336,6.513774394989014,,,
7,conv2d_5,<class 'keras.layers.convolutional.Conv2D'>,128,13,3.0,384,256.0,1.0,1.0,0.0,1.0,,4.64630126953125,4.477024078369141,4.51815128326416,4.531359672546387,4.523783922195435,,,
8,max_pooling2d_3,<class 'keras.layers.pooling.MaxPooling2D'>,128,13,,256,,2.0,0.0,,,3.0,0.6527900695800781,0.5910396575927734,0.6008148193359375,0.6128311157226562,0.6105601787567139,,,
9,dense_1,<class 'keras.layers.core.Dense'>,128,1,,9216,4096.0,,,1.0,,,1.558065414428711,1.4259815216064453,1.4570951461791992,1.4833927154541016,1.4812350273132324,,,
10,dense_2,<class 'keras.layers.core.Dense'>,128,1,,4096,4096.0,,,1.0,,,0.9188652038574219,0.8492469787597656,0.863194465637207,0.8704900741577148,0.8670985698699951,,,
11,dense_3,<class 'keras.layers.core.Dense'>,128,1,,4096,1000.0,,,1.0,,,0.46181678771972656,0.3848075866699219,0.3974437713623047,0.4082918167114258,0.40453672409057617,,,
