layer,name,operation,batchsize,matsize,kernelsize,channels_in,channels_out,strides,padding,activation_fct,use_bias,poolsize,time_max,time_min,time_median,time_mean,time_trim_mean,pre_time_abse,pre_time_re,pre_time_rmse
1,conv2d_1,<class 'keras.layers.convolutional.Conv2D'>,16,227,11.0,3,96.0,4.0,0.0,0.0,1.0,,2.5780200958251953,2.4640560150146484,2.5169849395751953,2.5133371353149414,2.5114119052886963,,,
2,max_pooling2d_1,<class 'keras.layers.pooling.MaxPooling2D'>,16,55,,96,,2.0,0.0,,,3.0,0.7002353668212891,0.6048679351806641,0.6402730941772461,0.6451129913330078,0.6432533264160156,,,
3,conv2d_2,<class 'keras.layers.convolutional.Conv2D'>,16,27,5.0,96,256.0,1.0,1.0,0.0,1.0,,1.9505023956298828,1.8124580383300781,1.8945932388305664,1.883244514465332,1.88368558883667,,,
4,max_pooling2d_2,<class 'keras.layers.pooling.MaxPooling2D'>,16,27,,256,,2.0,0.0,,,3.0,0.5156993865966797,0.42366981506347656,0.4878044128417969,0.48100948333740234,0.4838407039642334,,,
5,conv2d_3,<class 'keras.layers.convolutional.Conv2D'>,16,13,3.0,256,384.0,1.0,1.0,0.0,1.0,,1.1157989501953125,0.9911060333251953,1.035928726196289,1.045680046081543,1.0437369346618652,,,
6,conv2d_4,<class 'keras.layers.convolutional.Conv2D'>,16,13,3.0,384,384.0,1.0,1.0,0.0,1.0,,1.3501644134521484,1.2316703796386719,1.2820959091186523,1.2844085693359375,1.2827813625335693,,,
7,conv2d_5,<class 'keras.layers.convolutional.Conv2D'>,16,13,3.0,384,256.0,1.0,1.0,0.0,1.0,,1.031637191772461,0.9310245513916016,0.9520053863525391,0.9636402130126953,0.9592175483703613,,,
8,max_pooling2d_3,<class 'keras.layers.pooling.MaxPooling2D'>,16,13,,256,,2.0,0.0,,,3.0,0.3151893615722656,0.18548965454101562,0.2638101577758789,0.26023387908935547,0.2627074718475342,,,
9,dense_1,<class 'keras.layers.core.Dense'>,16,1,,9216,4096.0,,,1.0,,,0.7634162902832031,0.7507801055908203,0.756382942199707,0.7568120956420898,0.7567405700683594,,,
10,dense_2,<class 'keras.layers.core.Dense'>,16,1,,4096,4096.0,,,1.0,,,0.5371570587158203,0.41794776916503906,0.5217790603637695,0.5027055740356445,0.5089938640594482,,,
11,dense_3,<class 'keras.layers.core.Dense'>,16,1,,4096,1000.0,,,1.0,,,0.3771781921386719,0.240325927734375,0.28574466705322266,0.3070831298828125,0.30666589736938477,,,
