layer,operation,batchsize,matsize,kernelsize,channels_in,channels_out,strides,padding,activation_fct,use_bias,poolsize,time_max,time_min,time_median,time_mean,time_trim_mean,pre_time
64,<class 'keras.layers.convolutional.Conv2D'>,,17,1,768,192,1,1,1,0,,,,,,,
65,<class 'keras.layers.convolutional.Conv2D'>,,17,7,192,192,1,1,1,0,,,,,,,
66,<class 'keras.layers.convolutional.Conv2D'>,,17,1,768,192,1,1,0,0,,,,,,,
67,<class 'keras.layers.convolutional.Conv2D'>,,17,1,192,192,1,1,1,0,,,,,,,
68,<class 'keras.layers.convolutional.Conv2D'>,,17,1,192,192,1,1,0,0,,,,,,,
69,<class 'keras.layers.convolutional.Conv2D'>,,17,7,192,192,1,1,1,0,,,,,,,
70,<class 'keras.layers.convolutional.Conv2D'>,,17,1,768,192,1,1,0,0,,,,,,,
71,<class 'keras.layers.convolutional.Conv2D'>,,17,7,192,192,1,1,0,0,,,,,,,
72,<class 'keras.layers.convolutional.Conv2D'>,,17,1,192,192,1,1,0,0,,,,,,,
73,<class 'keras.layers.convolutional.Conv2D'>,,17,1,768,192,1,1,1,0,,,,,,,
74,<class 'keras.layers.convolutional.Conv2D'>,,17,1,768,192,1,1,1,0,,,,,,,
75,<class 'keras.layers.convolutional.Conv2D'>,,17,1,192,192,1,1,1,0,,,,,,,
76,<class 'keras.layers.convolutional.Conv2D'>,,17,1,768,192,1,1,0,0,,,,,,,
77,<class 'keras.layers.convolutional.Conv2D'>,,17,7,192,192,1,1,1,0,,,,,,,
78,<class 'keras.layers.convolutional.Conv2D'>,,17,3,192,320,2,0,0,0,,,,,,,
79,<class 'keras.layers.convolutional.Conv2D'>,,17,3,192,192,2,0,1,0,,,,,,,
80,<class 'keras.layers.pooling.MaxPooling2D'>,,17,,768,,2,0,,,3,,,,,,
81,<class 'keras.layers.convolutional.Conv2D'>,,8,1,1280,448,1,1,1,0,,,,,,,
82,<class 'keras.layers.convolutional.Conv2D'>,,8,1,1280,384,1,1,0,0,,,,,,,
83,<class 'keras.layers.convolutional.Conv2D'>,,8,3,448,384,1,1,1,0,,,,,,,
84,<class 'keras.layers.convolutional.Conv2D'>,,8,1,384,384,1,1,0,0,,,,,,,
85,<class 'keras.layers.convolutional.Conv2D'>,,8,3,384,384,1,1,0,0,,,,,,,
86,<class 'keras.layers.convolutional.Conv2D'>,,8,1,384,384,1,1,0,0,,,,,,,
87,<class 'keras.layers.convolutional.Conv2D'>,,8,3,384,384,1,1,0,0,,,,,,,
88,<class 'keras.layers.convolutional.Conv2D'>,,8,1,1280,320,1,1,0,0,,,,,,,
89,<class 'keras.layers.convolutional.Conv2D'>,,8,1,1280,192,1,1,1,0,,,,,,,
90,<class 'keras.layers.convolutional.Conv2D'>,,8,1,2048,448,1,1,1,0,,,,,,,
91,<class 'keras.layers.convolutional.Conv2D'>,,8,1,2048,384,1,1,0,0,,,,,,,
92,<class 'keras.layers.convolutional.Conv2D'>,,8,3,448,384,1,1,1,0,,,,,,,
93,<class 'keras.layers.convolutional.Conv2D'>,,8,1,384,384,1,1,0,0,,,,,,,
94,<class 'keras.layers.convolutional.Conv2D'>,,8,3,384,384,1,1,0,0,,,,,,,
95,<class 'keras.layers.convolutional.Conv2D'>,,8,1,384,384,1,1,0,0,,,,,,,
96,<class 'keras.layers.convolutional.Conv2D'>,,8,3,384,384,1,1,0,0,,,,,,,
97,<class 'keras.layers.convolutional.Conv2D'>,,8,1,2048,320,1,1,0,0,,,,,,,
98,<class 'keras.layers.convolutional.Conv2D'>,,8,1,2048,192,1,1,1,0,,,,,,,
99,<class 'keras.layers.pooling.GlobalAveragePooling2D'>,,8,,2048,,1,0,,,8,,,,,,
100,<class 'keras.layers.core.Dense'>,,1,,2048,1000,,,1,,,,,,,,
