layer,name,operation,batchsize,matsize,kernelsize,channels_in,channels_out,strides,padding,activation_fct,use_bias,poolsize,time_max,time_min,time_median,time_mean,time_trim_mean,pre_time_abse,pre_time_re,pre_time_rmse
1,conv2d_1,<class 'keras.layers.convolutional.Conv2D'>,8,28,5,1,32,1,0,0,1,,,,,,,,,
2,max_pooling2d_1,<class 'keras.layers.pooling.MaxPooling2D'>,8,24,,32,,2,0,,,2,,,,,,,,
3,conv2d_2,<class 'keras.layers.convolutional.Conv2D'>,8,12,5,32,64,1,0,0,1,,,,,,,,,
4,max_pooling2d_2,<class 'keras.layers.pooling.MaxPooling2D'>,8,8,,64,,2,0,,,2,,,,,,,,
5,dense_1,<class 'keras.layers.core.Dense'>,8,1,,1024,100,,,1,,,,,,,,,,
6,dense_2,<class 'keras.layers.core.Dense'>,8,1,,100,10,,,1,,,,,,,,,,
