layer,name,operation,batchsize,matsize,kernelsize,channels_in,channels_out,strides,padding,activation_fct,use_bias,poolsize,time_max,time_min,time_median,time_mean,time_trim_mean,pre_time_abse,pre_time_re,pre_time_rmse
29,res4a_branch1,<class 'keras.layers.convolutional.Conv2D'>,128,28,1.0,512,1024.0,2.0,0.0,1.0,1.0,,195.36662101745605,193.30120086669922,194.60856914520264,194.3953037261963,194.41065192222595,,,
30,res4b_branch2a,<class 'keras.layers.convolutional.Conv2D'>,128,14,1.0,1024,256.0,1.0,0.0,1.0,1.0,,90.69275856018066,88.87386322021484,89.53297138214111,89.60518836975098,89.56065773963928,,,
31,res4b_branch2b,<class 'keras.layers.convolutional.Conv2D'>,128,14,3.0,256,256.0,1.0,1.0,1.0,1.0,,198.1797218322754,196.95162773132324,197.45397567749023,197.5297451019287,197.52076268196106,,,
32,res4b_branch2c,<class 'keras.layers.convolutional.Conv2D'>,128,14,1.0,256,1024.0,1.0,0.0,1.0,1.0,,108.87718200683594,107.05924034118652,108.06155204772949,108.07945728302002,108.10726881027222,,,
33,res4c_branch2a,<class 'keras.layers.convolutional.Conv2D'>,128,14,1.0,1024,256.0,1.0,0.0,1.0,1.0,,90.88492393493652,89.15424346923828,90.11721611022949,90.18435478210449,90.22554755210876,,,
34,res4c_branch2b,<class 'keras.layers.convolutional.Conv2D'>,128,14,3.0,256,256.0,1.0,1.0,1.0,1.0,,198.03881645202637,196.5787410736084,197.15380668640137,197.15092182159424,197.11145758628845,,,
35,res4c_branch2c,<class 'keras.layers.convolutional.Conv2D'>,128,14,1.0,256,1024.0,1.0,0.0,1.0,1.0,,109.24863815307617,107.24830627441406,107.96523094177246,108.03565979003906,107.98245668411255,,,
36,res4d_branch2a,<class 'keras.layers.convolutional.Conv2D'>,128,14,1.0,1024,256.0,1.0,0.0,1.0,1.0,,90.39115905761719,89.29610252380371,89.83707427978516,89.80138301849365,89.79082107543945,,,
37,res4d_branch2b,<class 'keras.layers.convolutional.Conv2D'>,128,14,3.0,256,256.0,1.0,1.0,1.0,1.0,,197.55792617797852,196.80261611938477,197.02136516571045,197.12839126586914,197.11542129516602,,,
38,res4d_branch2c,<class 'keras.layers.convolutional.Conv2D'>,128,14,1.0,256,1024.0,1.0,0.0,1.0,1.0,,108.89673233032227,106.35137557983398,107.8956127166748,107.816481590271,107.86458849906921,,,
39,res4e_branch2a,<class 'keras.layers.convolutional.Conv2D'>,128,14,1.0,1024,256.0,1.0,0.0,1.0,1.0,,91.05515480041504,89.64419364929199,90.14153480529785,90.24534225463867,90.21925926208496,,,
40,res4e_branch2b,<class 'keras.layers.convolutional.Conv2D'>,128,14,3.0,256,256.0,1.0,1.0,1.0,1.0,,197.62301445007324,196.6879367828369,197.18432426452637,197.19483852386475,197.20467925071716,,,
41,res4e_branch2c,<class 'keras.layers.convolutional.Conv2D'>,128,14,1.0,256,1024.0,1.0,0.0,1.0,1.0,,109.29131507873535,105.38101196289062,107.68318176269531,107.6939582824707,107.78340697288513,,,
42,res4f_branch2a,<class 'keras.layers.convolutional.Conv2D'>,128,14,1.0,1024,256.0,1.0,0.0,1.0,1.0,,90.67225456237793,89.58888053894043,89.92135524749756,89.99960422515869,89.96686339378357,,,
