layer,name,operation,batchsize,matsize,kernelsize,channels_in,channels_out,strides,padding,activation_fct,use_bias,poolsize,time_max,time_min,time_median,time_mean,time_trim_mean,pre_time_abse,pre_time_re,pre_time_rmse
1,conv1,<class 'keras.layers.convolutional.Conv2D'>,2,230,7.0,3,64.0,2.0,0.0,1.0,1.0,,10.763168334960938,8.075952529907227,8.131027221679688,8.388352394104004,8.130550384521484,,,
2,max_pooling2d_1,<class 'keras.layers.pooling.MaxPooling2D'>,2,114,,64,,2.0,0.0,,,3.0,1.5239715576171875,1.470804214477539,1.5027523040771484,1.5009880065917969,1.5018880367279053,,,
3,res2a_branch2a,<class 'keras.layers.convolutional.Conv2D'>,2,56,1.0,64,64.0,1.0,0.0,1.0,1.0,,1.2919902801513672,0.8826255798339844,1.025557518005371,1.0440587997436523,1.0332465171813965,,,
4,res2a_branch2b,<class 'keras.layers.convolutional.Conv2D'>,2,56,3.0,64,64.0,1.0,1.0,1.0,1.0,,6.793737411499023,5.284786224365234,5.33449649810791,5.525994300842285,5.397677421569824,,,
5,res2a_branch2c,<class 'keras.layers.convolutional.Conv2D'>,2,56,1.0,64,256.0,1.0,0.0,0.0,1.0,,3.8068294525146484,2.7158260345458984,2.8012990951538086,2.971792221069336,2.8994083404541016,,,
6,res2a_branch1,<class 'keras.layers.convolutional.Conv2D'>,2,56,1.0,64,256.0,1.0,0.0,1.0,1.0,,5.016803741455078,2.7031898498535156,2.955198287963867,3.269481658935547,3.1218528747558594,,,
7,res2b_branch2a,<class 'keras.layers.convolutional.Conv2D'>,2,56,1.0,256,64.0,1.0,0.0,1.0,1.0,,3.350973129272461,2.4526119232177734,2.5184154510498047,2.6038169860839844,2.529323101043701,,,
8,res2b_branch2b,<class 'keras.layers.convolutional.Conv2D'>,2,56,3.0,64,64.0,1.0,1.0,1.0,1.0,,7.451057434082031,5.231142044067383,5.362153053283691,5.654096603393555,5.482345819473267,,,
9,res2b_branch2c,<class 'keras.layers.convolutional.Conv2D'>,2,56,1.0,64,256.0,1.0,0.0,1.0,1.0,,3.955364227294922,2.7027130126953125,2.756357192993164,2.885556221008301,2.7746856212615967,,,
10,res2c_branch2a,<class 'keras.layers.convolutional.Conv2D'>,2,56,1.0,256,64.0,1.0,0.0,1.0,1.0,,2.569437026977539,2.3691654205322266,2.4476051330566406,2.459096908569336,2.456545829772949,,,
11,res2c_branch2b,<class 'keras.layers.convolutional.Conv2D'>,2,56,3.0,64,64.0,1.0,1.0,1.0,1.0,,6.597995758056641,5.300760269165039,5.362868309020996,5.540561676025391,5.438357591629028,,,
12,res2c_branch2c,<class 'keras.layers.convolutional.Conv2D'>,2,56,1.0,64,256.0,1.0,0.0,1.0,1.0,,3.174304962158203,2.732992172241211,2.831697463989258,2.865433692932129,2.8433799743652344,,,
13,res3a_branch2a,<class 'keras.layers.convolutional.Conv2D'>,2,56,1.0,256,128.0,2.0,0.0,1.0,1.0,,2.1889209747314453,1.5559196472167969,1.6238689422607422,1.6863346099853516,1.6398131847381592,,,
14,res3a_branch2b,<class 'keras.layers.convolutional.Conv2D'>,2,28,3.0,128,128.0,1.0,1.0,1.0,1.0,,5.043268203735352,4.825830459594727,4.871368408203125,4.881405830383301,4.868119955062866,,,
15,res3a_branch2c,<class 'keras.layers.convolutional.Conv2D'>,2,28,1.0,128,512.0,1.0,0.0,0.0,1.0,,2.579212188720703,2.441883087158203,2.5284290313720703,2.5239944458007812,2.5273561477661133,,,
16,res3a_branch1,<class 'keras.layers.convolutional.Conv2D'>,2,56,1.0,256,512.0,2.0,0.0,1.0,1.0,,5.32841682434082,4.532337188720703,4.771947860717773,4.905176162719727,4.898875951766968,,,
17,res3b_branch2a,<class 'keras.layers.convolutional.Conv2D'>,2,28,1.0,512,128.0,1.0,0.0,1.0,1.0,,2.645730972290039,2.4042129516601562,2.4979114532470703,2.510690689086914,2.507120370864868,,,
18,res3b_branch2b,<class 'keras.layers.convolutional.Conv2D'>,2,28,3.0,128,128.0,1.0,1.0,1.0,1.0,,6.975412368774414,4.730224609375,4.8667192459106445,5.088186264038086,4.897028207778931,,,
19,res3b_branch2c,<class 'keras.layers.convolutional.Conv2D'>,2,28,1.0,128,512.0,1.0,0.0,1.0,1.0,,2.6586055755615234,2.485990524291992,2.549409866333008,2.5510072708129883,2.545684576034546,,,
20,res3c_branch2a,<class 'keras.layers.convolutional.Conv2D'>,2,28,1.0,512,128.0,1.0,0.0,1.0,1.0,,3.3109188079833984,2.3522377014160156,2.484440803527832,2.5662660598754883,2.4999380111694336,,,
21,res3c_branch2b,<class 'keras.layers.convolutional.Conv2D'>,2,28,3.0,128,128.0,1.0,1.0,1.0,1.0,,11.442422866821289,4.6539306640625,4.779577255249023,5.465388298034668,4.819691181182861,,,
22,res3c_branch2c,<class 'keras.layers.convolutional.Conv2D'>,2,28,1.0,128,512.0,1.0,0.0,1.0,1.0,,3.4575462341308594,2.4313926696777344,2.512693405151367,2.63671875,2.559781074523926,,,
23,res3d_branch2a,<class 'keras.layers.convolutional.Conv2D'>,2,28,1.0,512,128.0,1.0,0.0,1.0,1.0,,2.7217864990234375,2.457141876220703,2.5637149810791016,2.5806188583374023,2.5784075260162354,,,
24,res3d_branch2b,<class 'keras.layers.convolutional.Conv2D'>,2,28,3.0,128,128.0,1.0,1.0,1.0,1.0,,4.972696304321289,4.830598831176758,4.914045333862305,4.902982711791992,4.903316497802734,,,
25,res3d_branch2c,<class 'keras.layers.convolutional.Conv2D'>,2,28,1.0,128,512.0,1.0,0.0,1.0,1.0,,3.183603286743164,2.306699752807617,2.429962158203125,2.481698989868164,2.4158358573913574,,,
26,res4a_branch2a,<class 'keras.layers.convolutional.Conv2D'>,2,28,1.0,512,256.0,2.0,0.0,1.0,1.0,,1.8463134765625,1.3892650604248047,1.5350580215454102,1.5462636947631836,1.5283823013305664,,,
27,res4a_branch2b,<class 'keras.layers.convolutional.Conv2D'>,2,14,3.0,256,256.0,1.0,1.0,1.0,1.0,,5.565643310546875,4.852056503295898,4.960536956787109,5.00493049621582,4.953950643539429,,,
28,res4a_branch2c,<class 'keras.layers.convolutional.Conv2D'>,2,14,1.0,256,1024.0,1.0,0.0,0.0,1.0,,2.829313278198242,2.5348663330078125,2.6601552963256836,2.6662588119506836,2.6623010635375977,,,
29,res4a_branch1,<class 'keras.layers.convolutional.Conv2D'>,2,28,1.0,512,1024.0,2.0,0.0,1.0,1.0,,4.887104034423828,4.500627517700195,4.600882530212402,4.6428680419921875,4.6301186084747314,,,
30,res4b_branch2a,<class 'keras.layers.convolutional.Conv2D'>,2,14,1.0,1024,256.0,1.0,0.0,1.0,1.0,,3.5486221313476562,2.4595260620117188,2.6148557662963867,2.754521369934082,2.6921331882476807,,,
31,res4b_branch2b,<class 'keras.layers.convolutional.Conv2D'>,2,14,3.0,256,256.0,1.0,1.0,1.0,1.0,,5.084753036499023,4.802465438842773,4.871487617492676,4.900121688842773,4.889249801635742,,,
32,res4b_branch2c,<class 'keras.layers.convolutional.Conv2D'>,2,14,1.0,256,1024.0,1.0,0.0,1.0,1.0,,2.8002262115478516,2.5572776794433594,2.6929378509521484,2.6938915252685547,2.697676420211792,,,
33,res4c_branch2a,<class 'keras.layers.convolutional.Conv2D'>,2,14,1.0,1024,256.0,1.0,0.0,1.0,1.0,,2.6171207427978516,2.3679733276367188,2.540469169616699,2.528691291809082,2.5377273559570312,,,
34,res4c_branch2b,<class 'keras.layers.convolutional.Conv2D'>,2,14,3.0,256,256.0,1.0,1.0,1.0,1.0,,6.576061248779297,4.825830459594727,5.002140998840332,5.107855796813965,4.959583282470703,,,
35,res4c_branch2c,<class 'keras.layers.convolutional.Conv2D'>,2,14,1.0,256,1024.0,1.0,0.0,1.0,1.0,,2.832174301147461,2.5560855865478516,2.724885940551758,2.7099609375,2.713918685913086,,,
36,res4d_branch2a,<class 'keras.layers.convolutional.Conv2D'>,2,14,1.0,1024,256.0,1.0,0.0,1.0,1.0,,2.802610397338867,2.452850341796875,2.5461912155151367,2.5608062744140625,2.5440752506256104,,,
37,res4d_branch2b,<class 'keras.layers.convolutional.Conv2D'>,2,14,3.0,256,256.0,1.0,1.0,1.0,1.0,,5.304574966430664,4.921674728393555,5.045413970947266,5.10098934173584,5.0979554653167725,,,
38,res4d_branch2c,<class 'keras.layers.convolutional.Conv2D'>,2,14,1.0,256,1024.0,1.0,0.0,1.0,1.0,,2.7887821197509766,2.5768280029296875,2.6406049728393555,2.6592493057250977,2.653360366821289,,,
39,res4e_branch2a,<class 'keras.layers.convolutional.Conv2D'>,2,14,1.0,1024,256.0,1.0,0.0,1.0,1.0,,3.2529830932617188,2.4406909942626953,2.6220083236694336,2.6772499084472656,2.6348531246185303,,,
40,res4e_branch2b,<class 'keras.layers.convolutional.Conv2D'>,2,14,3.0,256,256.0,1.0,1.0,1.0,1.0,,6.959438323974609,4.948854446411133,5.121827125549316,5.277299880981445,5.108088254928589,,,
41,res4e_branch2c,<class 'keras.layers.convolutional.Conv2D'>,2,14,1.0,256,1024.0,1.0,0.0,1.0,1.0,,2.964496612548828,2.665281295776367,2.804994583129883,2.829432487487793,2.833068370819092,,,
42,res4f_branch2a,<class 'keras.layers.convolutional.Conv2D'>,2,14,1.0,1024,256.0,1.0,0.0,1.0,1.0,,3.4897327423095703,2.301931381225586,2.415776252746582,2.504396438598633,2.4065375328063965,,,
