layer,name,operation,batchsize,matsize,kernelsize,channels_in,channels_out,strides,padding,activation_fct,use_bias,poolsize,time_max,time_min,time_median,time_mean,time_trim_mean,pre_time_abse,pre_time_re,pre_time_rmse
1,block1_conv1,<class 'keras.layers.convolutional.Conv2D'>,2,224,3.0,3,64.0,1.0,1.0,0.0,1.0,,2.6814937591552734,2.6760101318359375,2.678990364074707,2.678966522216797,2.6790201663970947,,,
2,block1_conv2,<class 'keras.layers.convolutional.Conv2D'>,2,224,3.0,64,64.0,1.0,1.0,0.0,1.0,,3.2536983489990234,3.2265186309814453,3.24857234954834,3.2460451126098633,3.2475292682647705,,,
3,block1_pool,<class 'keras.layers.pooling.MaxPooling2D'>,2,224,,64,,2.0,0.0,,,2.0,1.1124610900878906,1.0437965393066406,1.088261604309082,1.0814666748046875,1.082301139831543,,,
4,block2_conv1,<class 'keras.layers.convolutional.Conv2D'>,2,112,3.0,64,128.0,1.0,1.0,0.0,1.0,,1.6925334930419922,1.5881061553955078,1.615762710571289,1.6254425048828125,1.6217231750488281,,,
5,block2_conv2,<class 'keras.layers.convolutional.Conv2D'>,2,112,3.0,128,128.0,1.0,1.0,0.0,1.0,,1.875162124633789,1.7719268798828125,1.8401145935058594,1.836538314819336,1.8397867679595947,,,
6,block2_pool,<class 'keras.layers.pooling.MaxPooling2D'>,2,112,,128,,2.0,0.0,,,2.0,0.6346702575683594,0.5419254302978516,0.6002187728881836,0.5930185317993164,0.5941987037658691,,,
7,block3_conv1,<class 'keras.layers.convolutional.Conv2D'>,2,56,3.0,128,256.0,1.0,1.0,0.0,1.0,,1.1622905731201172,1.0356903076171875,1.1026859283447266,1.0985851287841797,1.0984838008880615,,,
8,block3_conv2,<class 'keras.layers.convolutional.Conv2D'>,2,56,3.0,256,256.0,1.0,1.0,0.0,1.0,,1.3692378997802734,1.253366470336914,1.276254653930664,1.281118392944336,1.2735724449157715,,,
9,block3_conv3,<class 'keras.layers.convolutional.Conv2D'>,2,56,3.0,256,256.0,1.0,1.0,0.0,1.0,,1.3706684112548828,1.2669563293457031,1.2766122817993164,1.2879133224487305,1.2801885604858398,,,
10,block3_pool,<class 'keras.layers.pooling.MaxPooling2D'>,2,56,,256,,2.0,0.0,,,2.0,0.4973411560058594,0.4017353057861328,0.4373788833618164,0.43985843658447266,0.4374384880065918,,,
11,block4_conv1,<class 'keras.layers.convolutional.Conv2D'>,2,28,3.0,256,512.0,1.0,1.0,0.0,1.0,,0.8471012115478516,0.7724761962890625,0.7810592651367188,0.7961511611938477,0.7927417755126953,,,
12,block4_conv2,<class 'keras.layers.convolutional.Conv2D'>,2,28,3.0,512,512.0,1.0,1.0,0.0,1.0,,1.2044906616210938,1.148223876953125,1.1860132217407227,1.1777162551879883,1.178056001663208,,,
13,block4_conv3,<class 'keras.layers.convolutional.Conv2D'>,2,28,3.0,512,512.0,1.0,1.0,0.0,1.0,,1.2087821960449219,1.123666763305664,1.155257225036621,1.1617183685302734,1.1605918407440186,,,
14,block4_pool,<class 'keras.layers.pooling.MaxPooling2D'>,2,28,,512,,2.0,0.0,,,2.0,0.3142356872558594,0.2613067626953125,0.2897977828979492,0.28951168060302734,0.2899467945098877,,,
15,block5_conv1,<class 'keras.layers.convolutional.Conv2D'>,2,14,3.0,512,512.0,1.0,1.0,0.0,1.0,,0.7569789886474609,0.6978511810302734,0.725865364074707,0.7261991500854492,0.7258951663970947,,,
16,block5_conv2,<class 'keras.layers.convolutional.Conv2D'>,2,14,3.0,512,512.0,1.0,1.0,0.0,1.0,,0.7245540618896484,0.6899833679199219,0.6995201110839844,0.7031917572021484,0.7021725177764893,,,
17,block5_conv3,<class 'keras.layers.convolutional.Conv2D'>,2,14,3.0,512,512.0,1.0,1.0,0.0,1.0,,0.7646083831787109,0.7364749908447266,0.7489919662475586,0.7489442825317383,0.7485449314117432,,,
18,block5_pool,<class 'keras.layers.pooling.MaxPooling2D'>,2,14,,512,,2.0,0.0,,,2.0,0.2884864807128906,0.23245811462402344,0.24902820587158203,0.2537727355957031,0.25209784507751465,,,
19,fc1,<class 'keras.layers.core.Dense'>,2,1,,25088,4096.0,,,1.0,,,1.6102790832519531,1.5227794647216797,1.575469970703125,1.569533348083496,1.570284366607666,,,
20,fc2,<class 'keras.layers.core.Dense'>,2,1,,4096,4096.0,,,1.0,,,0.47135353088378906,0.4000663757324219,0.42819976806640625,0.4287242889404297,0.42697787284851074,,,
21,predictions,<class 'keras.layers.core.Dense'>,2,1,,4096,1000.0,,,1.0,,,0.33164024353027344,0.22649765014648438,0.2671480178833008,0.2741098403930664,0.2728700637817383,,,
