layer,name,operation,batchsize,matsize,kernelsize,channels_in,channels_out,strides,padding,activation_fct,use_bias,poolsize,time_max,time_min,time_median,time_mean,time_trim_mean,pre_time_abse,pre_time_re,pre_time_rmse
1,block1_conv1,<class 'keras.layers.convolutional.Conv2D'>,32,224,3.0,3,64.0,1.0,1.0,0.0,1.0,,37.91308403015137,37.83893585205078,37.85359859466553,37.865591049194336,37.86298632621765,,,
2,block1_conv2,<class 'keras.layers.convolutional.Conv2D'>,32,224,3.0,64,64.0,1.0,1.0,0.0,1.0,,47.78718948364258,47.62983322143555,47.689199447631836,47.69930839538574,47.69700765609741,,,
3,block1_pool,<class 'keras.layers.pooling.MaxPooling2D'>,32,224,,64,,2.0,0.0,,,2.0,13.913154602050781,13.782501220703125,13.871550559997559,13.861298561096191,13.864666223526001,,,
4,block2_conv1,<class 'keras.layers.convolutional.Conv2D'>,32,112,3.0,64,128.0,1.0,1.0,0.0,1.0,,22.222280502319336,22.103548049926758,22.150516510009766,22.153568267822266,22.15123176574707,,,
5,block2_conv2,<class 'keras.layers.convolutional.Conv2D'>,32,112,3.0,128,128.0,1.0,1.0,0.0,1.0,,25.25615692138672,25.146007537841797,25.153279304504395,25.177597999572754,25.171726942062378,,,
6,block2_pool,<class 'keras.layers.pooling.MaxPooling2D'>,32,112,,128,,2.0,0.0,,,2.0,6.18433952331543,6.103754043579102,6.14774227142334,6.1420440673828125,6.141543388366699,,,
7,block3_conv1,<class 'keras.layers.convolutional.Conv2D'>,32,56,3.0,128,256.0,1.0,1.0,0.0,1.0,,12.676477432250977,12.504100799560547,12.562990188598633,12.569952011108398,12.564867734909058,,,
8,block3_conv2,<class 'keras.layers.convolutional.Conv2D'>,32,56,3.0,256,256.0,1.0,1.0,0.0,1.0,,14.937877655029297,14.564990997314453,14.614105224609375,14.665508270263672,14.644026756286621,,,
9,block3_conv3,<class 'keras.layers.convolutional.Conv2D'>,32,56,3.0,256,256.0,1.0,1.0,0.0,1.0,,14.635801315307617,14.552593231201172,14.61935043334961,14.609861373901367,14.61377739906311,,,
10,block3_pool,<class 'keras.layers.pooling.MaxPooling2D'>,32,56,,256,,2.0,0.0,,,2.0,3.3807754516601562,3.3152103424072266,3.337860107421875,3.3433914184570312,3.342241048812866,,,
11,block4_conv1,<class 'keras.layers.convolutional.Conv2D'>,32,28,3.0,256,512.0,1.0,1.0,0.0,1.0,,7.31658935546875,7.152557373046875,7.21430778503418,7.217645645141602,7.213413715362549,,,
12,block4_conv2,<class 'keras.layers.convolutional.Conv2D'>,32,28,3.0,512,512.0,1.0,1.0,0.0,1.0,,9.529829025268555,9.105682373046875,9.40847396850586,9.403204917907715,9.424567222595215,,,
13,block4_conv3,<class 'keras.layers.convolutional.Conv2D'>,32,28,3.0,512,512.0,1.0,1.0,0.0,1.0,,9.21773910522461,9.015798568725586,9.121298789978027,9.107446670532227,9.105116128921509,,,
14,block4_pool,<class 'keras.layers.pooling.MaxPooling2D'>,32,28,,512,,2.0,0.0,,,2.0,1.7750263214111328,1.6710758209228516,1.7371177673339844,1.7296314239501953,1.731276512145996,,,
15,block5_conv1,<class 'keras.layers.convolutional.Conv2D'>,32,14,3.0,512,512.0,1.0,1.0,0.0,1.0,,2.971649169921875,2.8579235076904297,2.8864145278930664,2.894163131713867,2.889007329940796,,,
16,block5_conv2,<class 'keras.layers.convolutional.Conv2D'>,32,14,3.0,512,512.0,1.0,1.0,0.0,1.0,,2.9845237731933594,2.8569698333740234,2.9157400131225586,2.9153823852539062,2.91404128074646,,,
17,block5_conv3,<class 'keras.layers.convolutional.Conv2D'>,32,14,3.0,512,512.0,1.0,1.0,0.0,1.0,,3.0155181884765625,2.9349327087402344,3.0028820037841797,2.9938220977783203,2.998471260070801,,,
18,block5_pool,<class 'keras.layers.pooling.MaxPooling2D'>,32,14,,512,,2.0,0.0,,,2.0,0.5962848663330078,0.5340576171875,0.5567073822021484,0.5591392517089844,0.557631254196167,,,
19,fc1,<class 'keras.layers.core.Dense'>,32,1,,25088,4096.0,,,1.0,,,1.4529228210449219,1.3201236724853516,1.3610124588012695,1.3624906539916992,1.3564825057983398,,,
20,fc2,<class 'keras.layers.core.Dense'>,32,1,,4096,4096.0,,,1.0,,,0.5469322204589844,0.41413307189941406,0.4991292953491211,0.4883289337158203,0.4902780055999756,,,
21,predictions,<class 'keras.layers.core.Dense'>,32,1,,4096,1000.0,,,1.0,,,0.27251243591308594,0.19550323486328125,0.2256631851196289,0.2259969711303711,0.22399425506591797,,,
