layer,name,operation,batchsize,matsize,kernelsize,channels_in,channels_out,strides,padding,activation_fct,use_bias,poolsize,time_max,time_min,time_median,time_mean,time_trim_mean,pre_time_abse,pre_time_re,pre_time_rmse
1,conv2d_1,<class 'keras.layers.convolutional.Conv2D'>,16,28,5.0,1,32.0,1.0,0.0,0.0,1.0,,1.859426498413086,1.064300537109375,1.2140274047851562,1.317429542541504,1.2813210487365723,,,
2,max_pooling2d_1,<class 'keras.layers.pooling.MaxPooling2D'>,16,24,,32,,2.0,0.0,,,2.0,0.3516674041748047,0.24390220642089844,0.28336048126220703,0.2856016159057617,0.28255581855773926,,,
3,conv2d_2,<class 'keras.layers.convolutional.Conv2D'>,16,12,5.0,32,64.0,1.0,0.0,0.0,1.0,,1.2972354888916016,1.1305809020996094,1.2360811233520508,1.2274980545043945,1.2308955192565918,,,
4,max_pooling2d_2,<class 'keras.layers.pooling.MaxPooling2D'>,16,8,,64,,2.0,0.0,,,2.0,0.18215179443359375,0.1354217529296875,0.16486644744873047,0.1622915267944336,0.16316771507263184,,,
5,dense_1,<class 'keras.layers.core.Dense'>,16,1,,1024,100.0,,,1.0,,,0.24080276489257812,0.20003318786621094,0.2065896987915039,0.21598339080810547,0.2148747444152832,,,
6,dense_2,<class 'keras.layers.core.Dense'>,16,1,,100,10.0,,,1.0,,,0.18715858459472656,0.125885009765625,0.15211105346679688,0.1518726348876953,0.1507103443145752,,,
